"","String","Count"
"610","which_the",36147
"611","they_could",36144
"612","the_story",36139
"613","years_of",36133
"614","the_family",36125
"615","his_wife",36070
"616","was_that",35980
"617","do_that",35958
"618","not_going",35941
"619","that_had",35884
"620","going_on",35872
"621","to_think",35827
"622","people_in",35795
"623","a_single",35784
"624","he_does",35754
"625","n't_you",35735
"626","was_just",35667
"627","and_was",35655
"628","is_also",35540
"629","a_more",35476
"630","because_he",35420
"631","and_for",35388
"632","director_of",35334
"633","only_a",35260
"634","at_her",35221
"635","a_bit",35055
"636","he_didn't",35028
"637","seem_to",35023
"638","i_will",34867
"639","the_early",34840
"640","do_with",34808
"641","that_have",34798
"642","and_even",34744
"643","to_pay",34591
"644","looking_for",34590
"645","my_mother",34526
"646","we_need",34458
"647","to_play",34420
"648","in_terms",34415
"649","in_washington",34363
"650","you_see",34311
"651","on_my",34285
"652","or_not",34256
"653","of_time",34154
"654","with_him",34143
"655","the_road",34021
"656","are_going",34004
"657","for_him",33986
"658","a_time",33951
"659","the_car",33791
"660","is_now",33773
"661","a_week",33682
"662","were_not",33599
"663","ability_to",33591
"664","the_great",33573
"665","a_day",33562
"666","los_angeles",33431
"667","where_he",33431
"668","us_to",33410
"669","not_just",33378
"670","lack_of",33366
"671","will_not",33317
"672","might_have",33203
"673","are_in",33192
"674","too_much",33173
"675","will_have",33167
"676","can_do",33125
"677","she_has",33074
"678","the_year",33061
"679","in_other",33060
"680","president_of",33012
"681","she_would",33003
"682","like_this",32975
"683","the_very",32968
"684","that_can",32895
"685","and_as",32865
"686","looking_at",32785
"687","and_an",32783
"688","the_federal",32768
"689","looked_at",32767
"690","which_was",32748
"691","at_that",32630
"692","out_in",32607
"693","same_time",32592
"694","n't_even",32554
"695","we_will",32553
"696","amount_of",32529
"697","made_a",32386
"698","for_more",32254
"699","continue_to",32233
"700","close_to",32230
"701","think_of",32213
"702","the_school",32184
"703","if_she",32176
"704","the_front",32119
"705","of_new",32088
"706","we_did",31958
"707","through_a",31929
