"","String","Count"
"326","one_of_the_few",2660
"327","i_need_to_go",2650
"328","some_of_the_most",2650
"329","on_the_side_of",2640
"330","for_a_chance_to",2640
"331","there_are_a_few",2640
"332","please_let_me_know",2630
"333","get_out_of_the",2610
"334","can't_wait_to_hear",2610
"335","won't_be_able_to",2610
"336","i_am_not_sure",2610
"337","what_is_going_on",2600
"338","in_and_out_of",2600
"339","i_hope_you_have",2600
"340","how_much_i_love",2590
"341","to_see_you_there",2580
"342","and_i_want_to",2580
"343","the_first_day_of",2580
"344","i_have_a_feeling",2580
"345","let_me_know_when",2580
"346","just_got_back_from",2570
"347","thanks_for_the_support",2570
"348","in_the_near_future",2570
"349","on_the_back_of",2560
"350","at_the_university_of",2560
"351","a_great_deal_of",2560
"352","with_a_lot_of",2560
"353","s_o_to_my",2550
"354","what_do_you_do",2550
"355","not_the_only_one",2550
"356","i_feel_like_a",2550
"357","to_keep_up_with",2540
"358","looking_forward_to_a",2540
"359","be_able_to_get",2530
"360","want_to_be_a",2530
"361","to_check_it_out",2530
"362","not_being_able_to",2530
"363","i_need_to_be",2530
"364","it_was_time_to",2530
"365","to_the_fact_that",2520
"366","i_don't_know_about",2520
"367","in_item_above_pp",2520
"368","at_the_age_of",2510
"369","be_sure_to_check",2510
"370","looking_forward_to_your",2510
"371","a_lot_of_things",2510
"372","all_the_way_to",2500
"373","as_far_as_i",2490
"374","come_up_with_a",2490
"375","have_no_idea_how",2490
"376","you_please_follow_me",2490
"377","not_going_to_be",2480
"378","i'm_not_sure_if",2480
"379","i_am_so_excited",2470
"380","back_in_the_day",2470
"381","in_new_york_city",2470
"382","look_forward_to_seeing",2470
"383","to_say_the_least",2470
"384","to_learn_how_to",2470
"385","i_have_a_lot",2460
"386","the_start_of_the",2460
"387","one_of_the_things",2450
"388","thank_you_for_all",2440
"389","so_i_had_to",2430
"390","incorporated_in_item_above",2430
"391","had_so_much_fun",2420
"392","i_think_this_is",2420
"393","this_is_why_i",2410
"394","in_the_face_of",2410
"395","do_not_want_to",2410
"396","to_check_out_the",2390
"397","i_can_tell_you",2390
"398","and_one_of_the",2390
"399","so_that_i_can",2390
"400","i_love_it_when",2390
"401","middle_of_the_night",2390
"402","not_a_fan_of",2380
"403","i_hate_it_when",2380
"404","i_was_a_little",2380
"405","rest_of_the_day",2370
"406","i'm_going_to_have",2360
"407","and_a_lot_of",2360
"408","to_talk_to_you",2360
"409","a_couple_of_years",2360
"410","thanks_for_stopping_by",2350
"411","to_hear_from_you",2340
"412","i_the_only_one",2340
"413","there_is_a_lot",2340
"414","have_a_good_day",2340
"415","my_husband_and_i",2330
"416","to_figure_out_what",2320
"417","fall_in_love_with",2320
"418","this_is_a_great",2310
"419","to_be_a_great",2310
"420","to_the_end_of",2310
"421","so_proud_of_you",2310
"422","thank_you_to_everyone",2310
"423","to_go_to_bed",2300
"424","stuck_in_my_head",2290
"425","to_make_sure_that",2290
"426","to_all_of_you",2290
"427","i_know_i_know",2290
"428","a_whole_lot_of",2280
"429","are_some_of_the",2280
"430","have_a_great_week",2280
"431","the_way_to_the",2280
"432","a_friend_of_mine",2270
"433","is_it_just_me",2270
"434","if_you_are_interested",2270
"435","it_is_important_to",2270
"436","i_have_to_be",2270
"437","with_the_help_of",2260
"438","there_is_so_much",2260
"439","for_some_reason_i",2260
"440","i_can't_help_but",2250
"441","you_want_me_to",2250
"442","and_i_have_been",2250
"443","have_a_great_time",2250
"444","a_look_at_the",2240
"445","i'll_let_you_know",2240
"446","i_wanted_to_be",2240
"447","it_was_going_to",2230
"448","the_center_of_the",2230
"449","have_been_able_to",2230
"450","i_just_have_to",2230
"451","think_i'm_going_to",2230
"452","you_had_a_great",2220
"453","is_supposed_to_be",2220
"454","amazon_services_llc_and",2220
"455","and_i_will_be",2220
"456","on_a_daily_basis",2210
"457","in_love_with_the",2210
"458","it_is_going_to",2210
"459","i_will_have_to",2210
"460","get_a_chance_to",2210
"461","i_would_have_to",2210
"462","make_it_to_the",2210
"463","over_the_course_of",2210
"464","mother's_day_to_all",2200
"465","to_give_it_a",2200
"466","the_only_thing_i",2200
"467","i_was_a_kid",2200
"468","and_the_fact_that",2190
"469","i_love_you_and",2190
"470","in_the_history_of",2190
"471","the_front_of_the",2190
"472","a_lot_of_work",2190
"473","wait_to_see_what",2180
"474","if_you_don't_know",2180
"475","you_just_have_to",2180
"476","a_few_days_ago",2180
"477","all_i_can_say",2170
"478","if_i_had_a",2170
"479","you_for_the_rt",2170
"480","i_have_to_get",2170
"481","happy_birthday_to_my",2160
"482","it_was_one_of",2160
"483","on_a_regular_basis",2160
"484","and_i_had_to",2160
"485","to_say_that_i",2160
"486","go_back_to_the",2150
"487","in_the_morning_and",2150
"488","take_the_time_to",2150
"489","that_i_need_to",2150
"490","going_to_have_a",2150
"491","in_a_couple_of",2150
"492","have_to_worry_about",2150
"493","to_let_you_know",2150
"494","hope_everyone_has_a",2140
"495","seems_to_be_a",2140
"496","the_middle_of_a",2140
"497","to_one_of_the",2130
"498","to_see_you_at",2130
"499","there's_a_lot_of",2130
"500","we_had_a_great",2130
"501","has_nothing_to_do",2130
"502","there_is_no_way",2130
"503","for_a_few_minutes",2130
"504","wish_i_could_be",2130
"505","to_do_the_same",2130
"506","in_addition_to_the",2130
"507","had_a_chance_to",2130
"508","really_looking_forward_to",2120
"509","good_to_see_you",2120
"510","thanks_for_following_us",2120
"511","that_i_want_to",2110
"512","despite_the_fact_that",2110
"513","i_need_to_do",2110
"514","would_be_a_good",2110
"515","one_of_my_favorites",2110
"516","see_you_at_the",2110
"517","those_of_us_who",2100
"518","cant_wait_to_see",2100
"519","hope_everyone_had_a",2090
"520","in_my_life_i",2090
"521","wait_to_see_the",2090
"522","something_to_do_with",2090
"523","the_last_couple_of",2090
"524","i_don't_have_any",2090
"525","now_i_have_to",2090
"526","it_is_time_to",2080
"527","would_love_to_hear",2080
"528","when_i_get_home",2080
"529","the_rest_of_your",2080
"530","it_has_to_be",2080
"531","if_you're_going_to",2070
"532","one_of_the_greatest",2070
"533","to_hang_out_with",2060
"534","if_you_are_in",2060
"535","if_you_don't_like",2060
"536","time_for_me_to",2060
"537","thanks_to_all_who",2050
"538","might_be_able_to",2050
"539","a_long_time_ago",2050
"540","the_next_few_days",2040
"541","am_looking_forward_to",2040
"542","to_go_to_a",2040
"543","with_the_rest_of",2040
"544","i_just_need_to",2040
"545","the_back_of_my",2040
"546","what_can_i_say",2040
"547","need_to_go_to",2030
"548","all_you_have_to",2030
"549","that_i_have_a",2030
"550","if_you_are_not",2030
"551","if_you'd_like_to",2020
"552","in_the_same_way",2020
"553","what_i_want_to",2020
"554","just_in_time_for",2020
"555","they_are_going_to",2020
"556","why_is_it_that",2010
"557","me_know_what_you",2010
"558","i_hope_you_are",2000
"559","going_to_be_in",2000
"560","great_to_meet_you",2000
"561","to_catch_up_on",2000
"562","we_would_love_to",1990
"563","what_was_going_on",1990
"564","i_thought_you_were",1990
"565","out_to_be_a",1980
"566","i_want_to_make",1980
"567","a_few_months_ago",1980
"568","you_have_no_idea",1980
"569","the_best_part_of",1980
"570","i_think_i_might",1980
"571","the_edge_of_the",1970
"572","i_know_i_am",1970
"573","rest_of_the_world",1970
"574","it_was_great_to",1970
"575","at_the_very_least",1970
"576","how_have_you_been",1970
"577","for_all_of_us",1960
"578","have_a_chance_to",1960
"579","to_be_the_best",1960
"580","he_was_going_to",1960
"581","was_a_lot_of",1960
"582","to_the_point_where",1960
"583","wish_i_had_a",1960
"584","at_the_time_of",1950
"585","right_in_front_of",1950
"586","on_the_edge_of",1950
"587","you_want_to_do",1950
"588","to_go_to_sleep",1950
"589","and_i_can't_wait",1950
"590","i_had_a_great",1950
"591","sure_to_check_out",1940
"592","the_power_of_the",1940
"593","the_top_of_my",1940
"594","and_it_was_a",1940
"595","in_front_of_a",1940
"596","i_used_to_be",1930
"597","with_some_of_the",1930
"598","i_think_i_am",1930
"599","of_one_of_the",1930
"600","i_don't_think_so",1930
"601","i_felt_like_i",1930
"602","us_know_if_you",1930
"603","i_think_i'm_going",1920
"604","is_a_good_thing",1920
"605","please_follow_me_i",1920
"606","let_me_know_how",1920
"607","no_such_thing_as",1920
"608","for_the_kind_words",1920
"609","have_to_say_that",1910
"610","in_the_next_few",1910
"611","to_do_with_it",1910
"612","to_go_to_school",1910
"613","it_was_just_a",1910
"614","thank_you_thank_you",1910
"615","a_copy_of_the",1900
"616","for_as_long_as",1900
"617","in_a_few_weeks",1900
"618","in_the_world_of",1900
"619","do_you_know_what",1900
"620","for_the_heads_up",1900
"621","that_there_is_no",1900
"622","to_be_in_a",1900
"623","i'm_not_sure_what",1890
"624","is_part_of_the",1890
"625","the_last_day_of",1890
"626","to_learn_more_about",1890
"627","it_is_hard_to",1890
"628","would_like_to_see",1890
"629","what_do_you_want",1880
"630","has_a_lot_of",1880
"631","do_i_have_to",1880
"632","i_just_had_to",1880
"633","we_would_like_to",1880
"634","sorry_to_hear_that",1880
"635","but_in_the_end",1870
"636","i_hate_when_people",1870
"637","to_see_if_i",1870
"638","believe_it_or_not",1870
"639","i_think_i_will",1870
"640","as_much_as_possible",1860
"641","see_if_i_can",1860
"642","i_want_to_get",1860
"643","you_want_to_see",1860
"644","is_not_going_to",1850
"645","i_wanted_to_do",1850
"646","let_us_know_what",1850
"647","thanks_for_the_love",1850
"648","give_it_a_try",1850
"649","and_of_course_the",1850
"650","we_were_able_to",1850
"651","in_an_attempt_to",1840
"652","but_it_was_a",1840
"653","for_the_follow_i",1840
"654","so_much_to_do",1840
"655","a_good_way_to",1840
"656","that_i_have_to",1840
"657","will_be_in_the",1840
"658","mothers_day_to_all",1840
"659","keep_an_eye_out",1840
"660","to_all_of_the",1830
"661","one_of_the_many",1830
"662","i_didn't_have_to",1830
"663","and_i_had_a",1830
"664","it's_been_a_while",1830
"665","how_are_you_doing",1830
"666","you_are_looking_for",1820
"667","to_look_at_the",1820
"668","i_came_up_with",1820
"669","going_to_try_to",1820
"670","one_of_those_days",1820
"671","so_far_so_good",1820
"672","i'm_not_the_only",1820
"673","in_an_effort_to",1820
"674","you_don't_have_a",1820
"675","the_size_of_the",1820
"676","end_of_the_year",1820
"677","be_able_to_do",1810
"678","be_part_of_the",1810
"679","to_look_forward_to",1810
"680","was_one_of_those",1810
"681","has_to_do_with",1810
"682","one_of_the_reasons",1810
"683","you_need_to_do",1810
"684","would_be_a_great",1800
"685","for_all_of_the",1800
"686","thank_you_all_for",1800
"687","once_upon_a_time",1800
"688","in_the_mood_for",1800
"689","thank_you_for_sharing",1800
"690","would_love_to_have",1800
"691","that_i_am_not",1800
"692","that_i_had_to",1800
"693","getting_ready_for_the",1800
"694","to_everyone_who_came",1790
"695","to_be_honest_i",1790
"696","that_it_was_a",1790
"697","a_great_time_at",1790
"698","end_of_the_world",1790
"699","know_what_i_mean",1790
"700","so_i_can_get",1790
"701","to_see_you_on",1790
"702","a_good_idea_to",1780
"703","to_all_of_our",1780
"704","will_be_at_the",1780
"705","thank_you_for_being",1780
"706","of_some_of_the",1780
"707","what_did_you_think",1780
"708","one_of_these_days",1770
"709","i'm_going_to_try",1770
"710","you_need_to_be",1770
"711","be_a_good_day",1770
"712","a_few_of_my",1770
"713","thought_it_was_a",1770
"714","you_have_a_good",1770
"715","the_hell_out_of",1760
"716","i_hope_you_all",1760
"717","in_order_to_get",1760
"718","don't_know_if_i",1760
"719","you_are_in_the",1760
"720","so_excited_to_see",1760
"721","feel_the_need_to",1750
"722","the_other_day_i",1750
"723","a_lot_of_money",1750
"724","i_have_a_few",1750
"725","the_only_one_that",1750
"726","i_am_so_happy",1750
"727","was_the_first_time",1750
"728","in_the_right_direction",1750
"729","in_the_world_and",1740
"730","every_now_and_then",1740
"731","and_thank_you_for",1740
"732","it_just_me_or",1740
"733","made_it_to_the",1740
"734","do_you_think_of",1740
"735","to_go_to_work",1740
"736","on_the_way_home",1740
"737","all_the_time_and",1730
